FPR;Precision
0.385;0.003
0.385;0.003
0.385;0.003
0.385;0.003
0.385;0.003
0.385;0.003
0.384;0.003
0.384;0.003
0.384;0.003
0.384;0.003
0.384;0.003
0.383;0.003
0.383;0.003
0.383;0.003
0.383;0.003
0.383;0.003
0.383;0.003
0.382;0.003
0.382;0.003
0.382;0.003
0.382;0.003
0.382;0.003
0.382;0.003
0.382;0.003
0.381;0.003
0.381;0.003
0.381;0.003
0.381;0.003
0.381;0.003
0.381;0.003
0.38;0.003
0.38;0.003
0.38;0.003
0.38;0.003
0.38;0.003
0.38;0.003
0.38;0.003
0.379;0.003
0.379;0.003
0.379;0.003
0.379;0.003
0.379;0.003
0.379;0.003
0.379;0.003
0.378;0.003
0.378;0.003
0.378;0.003
0.378;0.003
0.378;0.003
0.378;0.003
0.378;0.003
0.378;0.003
0.377;0.003
0.377;0.003
0.377;0.003
0.377;0.003
0.377;0.003
0.376;0.003
0.376;0.003
0.376;0.003
0.376;0.003
0.376;0.003
0.376;0.003
0.376;0.003
0.376;0.003
0.375;0.003
0.375;0.003
0.375;0.003
0.375;0.003
0.375;0.003
0.375;0.003
0.375;0.003
0.374;0.003
0.374;0.003
0.374;0.003
0.374;0.003
0.374;0.003
0.374;0.003
0.373;0.003
0.373;0.003
0.373;0.003
0.373;0.003
0.373;0.003
0.373;0.003
0.372;0.003
0.372;0.003
0.372;0.003
0.372;0.003
0.372;0.003
0.372;0.003
0.372;0.003
0.372;0.003
0.371;0.003
0.371;0.003
0.371;0.003
0.371;0.003
0.371;0.003
0.37;0.003
0.37;0.003
0.37;0.003
0.37;0.003
0.37;0.003
0.37;0.003
0.369;0.003
0.369;0.003
0.369;0.003
0.369;0.003
0.369;0.003
0.369;0.003
0.369;0.003
0.369;0.003
0.368;0.003
0.368;0.003
0.368;0.003
0.368;0.003
0.368;0.003
0.368;0.003
0.368;0.003
0.368;0.003
0.367;0.003
0.367;0.003
0.367;0.003
0.367;0.003
0.367;0.003
0.367;0.003
0.367;0.003
0.366;0.003
0.366;0.003
0.366;0.003
0.366;0.003
0.366;0.003
0.366;0.003
0.365;0.003
0.365;0.003
0.365;0.004
0.365;0.004
0.365;0.004
0.365;0.004
